x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
3ED32120,3D5DA4C0,3FF808BA,BE775E10,3F00D028,3F11DDEC,3F62E5B0,BF0B0838,BF8D21D9,BFC0757F,BF7A0458,BFCFE4B8,3FEF756B,3F856DB4,BF933812,3F065516,3FDD9F36,BF8BD988,3FDA93A0,3D4C0880,BFA1FBA6,3FB4DAF3,BFB21556,BDD5BEC0,BF72B078
3FA32A58,3FA27E9C,3FAC6DE7,3EA16EBC,3F85E523,BF8B272D,BF090E96,BD67AC40,3EDB4750,BD4EEB00,3FBC4FD3,3EAA4F70,BFB695F0,3FB752DF,BF4D8A10,BEED5FD8,3EAAE150,BEA07090,BF489B9C,3EAD6610,BFD704F2,BF83032D,BFCFB97E,3EAA0220,BE21A788
3F7CA5D0,3E002D10,BD2E2AC0,3F32B848,BF362AF4,BF3F7820,3FA43AE8,3F06B37C,3EB79094,BFC8C7CE,BE703920,BF2090DC,3F485A54,3EAA66D0,3FB193BA,3ED6E7D4,3E16C9A8,BFB43A42,3FBDEEA6,3E5F0C28,3F1FF886,BFB2347C,3F519A18,3EB7F6C8,3F1CE55C
BFB80799,3F90C4C8,BDAEAF40,BF791FFC,3EFBF4C8,BFA242A4,3F1AFCA8,BE1C43EE,BEEB5C50,3F4041F8,3F514F88,BEF1FC67,3F0EA98A,3F3E2884,BF740680,3F40769C,BEC2C130,BF8B9334,BF334DDC,3F5DFAC4,3E81E8B4,3ED88B10,3E82A6B0,BEA392E0,3F2E3EA4
BED9CF98,BE2E0480,BEB557A0,BE96B3B8,3D6E5BC0,3FE76C3D,BDA28C84,3F147CC8,3F0B3668,3FB1F54A,BED87CD8,3F786D30,3FA5ED8F,BFC98DF6,BF649020,BE31C7E0,3F9AD9AF,BFD63FFB,3FB7169A,BF4E7BBC,BE1A8A90,3F62940C,BFF7A7A6,3D882CB0,BF1D2650
3E32BCE0,3F5F2DB8,BF984E0E,BF4CAD54,BFD7628D,3F16C420,BED168F9,BF93D180,BFD49524,3F46359C,BE399F00,3D7F3100,BE82B008,BF2E9778,BF835BE0,BF727964,BF89CB42,BE6FA710,BDB664A0,3E889B98,BF2AC4A2,3F8D04D7,3EA381F4,BF1F00B4,BFCF1C09
BF678274,3EEC80C8,BC711900,BF7608B8,3F2625CC,3D5326C0,3F037FFC,3F2C6398,BFBE6DEE,BD199740,BEADB5A0,BE5E42D0,3F07FB74,3E995E18,BE234C02,3F8408C2,BF874684,BECBAA60,3F1F5B1C,BF8C37A1,3CDDB640,BE921924,3F80E2E5,3E224C40,BF9148CD
BE8B6DC0,BE88C8D8,BF5C4C0E,3F522CC8,BF8F512C,3F3E5E8C,BF3E79EC,3F0474C0,3FE8392C,BF24EE64,3F19D454,BE874870,BFB40010,3F970906,3FD5F4F1,3F3D16C4,3EA3B28C,3F5E37E8,BFDA8FAA,3E9389A0,BFDAE1EC,3F9E29CC,3B738000,3F8C1D31,3FFCA35F
BE702470,BF932CA6,BD701100,BF1847D0,BE74F750,BF6BFDF6,3E8301F0,BBBC3C00,BDA80AE0,BEDE7B10,3FA46DAC,3E3CF9D0,3F16529E,3EF57C70,3F9AF1A3,BFCFC082,BEAD2768,BEB794E8,BF9A4FE7,3EA60D38,BEAB9908,BFC91402,3FBCEF45,3FCC0D0E,BDA5CB24
BF81830F,BF7D99E8,BE2879E0,3FF145BC,BFB11060,BF747A18,3F8E0467,BF3EC20C,3E2CDF70,3F24E856,BE9F39A8,BFF8C82C,BF1337AC,3E440E08,BF66B3C8,BFA8B770,3F4BC028,BF6F0FC0,3E1EFB30,3FBBB51B,3FF39A9C,BF7CA470,3F2B66B4,3FD4BFCA,BDA60E24
3F8E831C,3F07BE3C,BF46F93C,3C943F00,3F8ADC54,3FBDF07B,BF89061D,BEB73EB0,3D265900,BF5AD2B8,3F19827E,3F68DF38,BF9D7265,3F90299B,3EA70650,3F9B539E,BF3CACD0,3C231680,BF9ECE6E,3D793340,3E054750,BF74FC9C,3EAB5D08,3DEEEEE0,BFBDD61D
3F80455F,3F9FC09A,BFBC4F7D,BFD7D26C,3FB008B8,BEF3222F,3F5822F8,BF8F653A,3E23F330,3F682ED0,3F4606F2,3F2FA814,BFB8C808,BFD2EEEA,BF0DB4E4,BED73CD8,3F3F422C,3FFADB08,BF74EDA4,3FFDDB85,3FD0087C,3E422320,BFA95E19,BE3E4CF0,BF82D9E1
3DB3BA00,3F0E0422,BE363E00,3F57037C,BF989D4E,3FB2EFF6,BF8E215D,3D771640,BEC07110,BFAB8B26,3F2ABE50,3F37D768,BF74E104,BF9E8426,BEFA24E8,BF951E64,3EABA8F0,BFD67C53,3FABDA24,3E881490,BDB0D1B0,3F2FE480,BDFD65FC,3EAC9AF0,BFE88AB4
BFBBB5BA,3EE8E0B8,3D932B80,3EE2F218,3FD2983D,3E917B80,3F7F9AB0,3FCBF6D3,BF65CDAC,BF416638,BFB5604F,BE49EEB0,3F4467B4,BEBE65BF,3FBEAA72,BD6BB1C0,BFBBD5BF,3F146810,BF847557,3F636958,3F2EED9C,3F0D7434,3F413A1E,3EEB522C,BF856DB5
BC77EE80,BF5B6310,BEF3BE70,3F631AA0,BE260820,3F1005F4,3F901B22,BEFC7979,BDF83DDC,3E5A1ED0,3F248B08,BFC33D4A,BF130228,BED94220,BF0D3E34,3E1101B0,BF980EB2,BF994DD1,BE6202D0,3FA28ADA,3EC91DF0,3E9480B4,BF93AC57,BFFD1DE8,3E611F90
3FE29789,3F93B193,3F58041C,BE378A30,BF68AE6C,BF4528A4,BFDB40BB,BC8A8F00,3F82DCA5,3FAA1B32,3EC24B38,BF5C9F8C,BF43C494,BE104220,3C0BA800,3E454770,BFA0689F,BEF106F0,3E02A808,3EC0BC90,3ECF7E10,BFAF17AF,BF2A00BE,3F80DF95,BF6647B0
3F0C180C,3EDFA5A0,3E2B6880,3F8E6C54,BF82F2E9,3E6043B8,BC557100,BF28ABC4,BFA4FB98,BFEA98E8,3ECB6518,BF802275,BF8DB622,3F919088,BFB2DDE0,BFFD1F74,3F3A2A1E,3F8DCC87,BE32EFD0,3D880A60,BDBA8480,BF824D40,BFCC47CC,3F6EC048,3FA27752
3E8B9518,3F52C584,3F9F7B57,BEB2E4D0,BE520C70,BDC29BE0,BF8A564E,BF90515F,3EB93C64,3F0C451A,3F23C934,BF9AF3D4,3E8A8DA0,3F81B160,BF1D4024,3F36C364,BFAAED5B,3E3F2F80,BF389938,3E11ABB0,3FB37028,3F3E25C8,BFA344CA,BFC3C792,3E11B1B0
3F09C930,3F70D648,BFB2927B,BF6D4FCC,3C3F8600,BED57B80,3F26B840,BDCDDE20,3F136450,3FF669DE,BFC18404,3E1E5940,3FAF8F79,BEB348E8,BF1D452C,3F8659C1,3F06113A,BFA6EECD,3E75F020,3F8032D9,3F222844,BF861E5E,BFA7E56A,BF2F6A58,3F53D878
BD676B80,3E938A08,BF682088,3FAC772D,3FFC717E,BEF7CA60,BF9DB1B9,BF6BDCAC,BF8A0A33,3F310384,3E489D28,BF195060,3FC9A18A,3F445132,BF6458A4,3F48A230,3EF9E26C,3EF07A08,BFB0FAC6,3F98D79D,BF0A4278,3F9EBF01,BF4115E0,BF671884,3DD9D520
3F9AE8D3,3E166740,BE857140,BF8D24EA,BF5597B4,3F29CA0C,3F4F6104,3F1B9170,3F8F042A,3F6D7010,BF36DBC8,3F97A5B3,BDA98F80,3FF843FD,BE655E12,BF8FB816,3F80692C,3DE4A640,BFF94C20,BEFB2190,BF219458,BFB2A5EE,3F25D200,3F038750,3FD06C4E
3F6A04A0,3FB6E296,BFE76CC8,3F7A8B28,BF268060,3FDED64B,3D3E4F40,BE5965E0,3F4733D8,3F405020,BFA3BD1F,3DB92020,BDD565D0,BF3C421C,BF164168,3FEAF745,BFC7E400,BF76EF90,BF9A4E14,3F32FDD8,3D30F700,BE047530,3F292194,BF4EF59C,3E3DB010
BDDB72E0,3F25299C,BFCC4621,BF9F09D6,3DD14180,BECE9FA1,BEAECF58,BEFF0118,3F952DC4,3EBA41F8,BF0F645C,BE8B0BC8,3C02E500,BF8323D1,3F9D8652,BF7AFB38,3D436C80,3E699BE8,3DF5F0C0,3EF02170,3F941545,BEFA3738,3D9EB240,3FD870B8,3EDA75D8
BFAFD7A8,3F11699C,3FAA7AD6,BE288760,3FAD9AC1,BEEC5428,BEFDC728,3F40ACD4,3F994A2D,3F9FF282,BF9767CC,BF172C7C,BF89230F,3FEE0D5F,3FCF3A04,3E55AA80,3F3D5750,BE9812F8,BE505CB0,BF154E74,3D8925F0,3E227E28,3FE6A1A3,BFDF65AF,BEF5FAB8
3F4C887C,BF125634,BF8B0049,3FA1DA21,BFA7A3CE,3D9AE2A0,3EA58150,BEE0DD98,BF065AA0,3E395AB8,3F0B1BA0,BFE789C3,3E0699B0,BF831738,3F246770,BF3D4DA8,BF6EA7AC,3E8A5F68,3FD06121,BE99A630,3EA765D8,BE91D1B9,3E46CE98,BF81FA78,3DBF9280
3F0EB046,3F174F04,BF94AE69,3EFB3754,BF2F7208,3FCA8276,3E497A60,3EF7A140,3DA55120,3CECC900,BFE6A72F,BF918BA8,3FC84BA1,3F93BAE3,3F6C1E90,BF5E98C0,3FB22BAD,BC807C10,3F039F14,BCAAD900,BE162DD0,BF8E4BE1,BF81F6F0,3EBC4BA8,3F7AB848
3EC617E8,3FBB452B,BFB51FF9,3E2DBC90,BF80D843,3CD9B840,BEAAF0A4,3E96D3FC,BF63D14C,3D0ADAC0,BFFC791B,3F775CE0,3C289D00,3F12EB70,BF03160A,3FAA17DA,3F0B15A8,3E63CC90,BF3744CC,BE4585EE,BFB678B0,BF7C5E28,3E51DBC0,3DFBD7A0,3EFC4920
3E9C9098,3EA27E30,3F86F356,BF85129C,BEB83A98,3F46FB3C,BF7B1CEC,BE35F8B2,3F14C1E0,3EAAE7F8,BF0440BC,3F54F414,BE90EEA8,3F4B0024,3E5C7AB0,3EDE0C4C,BFAF526A,BF55562C,BF812706,3E4B5170,3FD60937,3EA64644,3E964B80,BEAF3BA0,3F9DABB3
3F5EEE90,BF6AEAE8,BE60ACF0,BF00DB84,3EEFDF98,BFB00AB8,BF028664,BF4DA6B4,BE258510,BF06ABE8,3F3A913C,3E141E50,BE0615B0,BECB5830,3F78B048,BCF49500,3DA103A0,BFBF696A,3F5FE480,3FE863FA,BD064440,BF369068,3F91DCE3,3FB26FC4,BF8F5682
3F1F7CC0,3F398960,BFC4190E,3EC0F6F8,3FB5C387,3CDCA380,BEE3DC70,3F934F94,3E6886F0,3D498980,BFBC4559,3F9B7BF9,3F4C615C,BF84C869,BFB37859,BF8D393B,BFC1F853,BF293778,BDCCFE80,BF8C9ACD,BF969E65,BEA1E848,3FBAA706,3E3954C0,3CEA8D00
3F534C5C,3FE91704,3D87CA20,BE7F5EA0,BF24617C,3ED67B40,3F47BEB2,3EFC6BD0,3EB51FE8,BFA0D1D8,BE34F928,BD49CF00,3F9979FD,3F023644,BEB84CC0,BFE31193,3F94184A,3F06432C,3FC49DC4,BF1CFA48,BF83AB6C,BF6F12AC,BEE73690,3E5905E8,BFEE0A80
BE445FF0,BF43BF3C,BEE1B638,3F1D8964,3FB27A67,3F103564,3EF2FE00,BF570242,3FC4E50B,3D8EFE20,3F1BB0D8,3EB1F488,3F7144D8,BF20C67C,3F8C5517,3F9E161E,3FA60106,3EB28150,3EF8D838,3EB1B708,BEE02380,3E0695C0,BF7D0F08,3F47CD0C,3E82CAF8
BEABF8D4,3E714F98,BF358FA8,BEBFF608,BEB1BDB8,BFB7EE30,3F06411C,BF08A1EA,BFF4C847,3DABA960,3FCC058F,3F37A364,3FCAD75C,3E9C55C0,BF29E058,BF68DB8E,BF8FF216,BF29D294,BFEFFD43,BF8C7D3C,BEA73F60,3F95BAD3,BF6DE75C,BF0708FC,3FC00816
3F2AF4B0,BF3A98C0,3F66DD8E,3F1C29B0,3F408748,3E294170,BEA3F820,3F7F1D60,BF42C5D0,BF743F38,BF04C324,BE5CAA40,BF1DC86C,3F0B2FBC,3F028E6C,BDBAB900,BFB62C00,3F1346B0,BE464350,BF2081E0,BF725AA8,BE93BE80,3F49B04C,BFADF2F4,BFE98C50
BF2DFFD0,3F35E478,BF3A8F4E,BD8B5A00,3EDB5F50,3E8F3338,BEB09DA0,BE0E1770,3E166B80,3F4B9CDC,BF9F0BBA,3E476240,BEB185D0,BF7B67E0,3FDAB671,3F5AC890,3DED59E0,3E822708,3F858697,3DEF2480,BD263600,BF274284,BE6CC9A8,3FEECEEB,3E235D30
BE5F3938,BFB080D6,BF28D470,3EC2D030,3F130D9C,BF14E7BE,3F05E15C,BF2823B4,3E5E8550,BF7746A4,BE7631DE,BFB0A4D4,BF82D48E,BEE5E8FC,BE833B70,3EFB3B0C,3F8ABFEC,3F2F5818,3CA23A80,3EA3AFC8,3ED6FDB0,BEB9C828,BE106D00,3F7F6498,BD9F70C0
BF0AAFD2,BF463990,BF3135C8,3EF3ED54,BFDC8266,3DA77180,BFA3F19B,3F636020,BE459AD0,3ECF81A0,3ED3DB34,3FA87AB2,BF24F2F8,3F34BB7C,BFB34E4B,3F312470,3EB5D058,3FBC7975,BF9DADA9,BDC5D440,BC603B20,3FC093D4,3F410124,BFAAFE70,3E353790
3FE4929B,BF87E609,BFB0CAF8,BFB324F0,3F6F2A88,3F016144,BF7C2DA0,BD26B180,BFD12B58,3F7DCF28,3F2C16BC,BF8A3416,BFC2798E,BEC1FF20,BE624CD0,BEBFA164,BF103D1C,3F6147E4,BF55D624,BF0D2294,BF702A64,3EBD4E00,3B877200,BE50BCD0,BF936D35
3FAF10A5,BEFEA7B0,3F060AF2,3EE49688,3DE020C0,BDA7F0E0,3F335DEC,BF053F30,3F50352C,3D35A200,3FEA7467,BF62A404,BF94DA0C,BF6D1AE4,BE4F5F00,BEAEE65F,BF6E9444,3DFA1120,3F20C4D4,BF516504,BEA522A8,3EA080D8,BF1C5E08,3FD607BD,BF2F7728
BF260E80,BF0C4DD8,BF54195C,BF2B3C98,BE9935C8,BE8178C8,3FAA9DE8,3FA91872,BFCA965D,3F2BF5F0,BFA882F2,3ED8ED00,3DBCE220,3F742D50,3FB22BFA,3FE7292B,3EDCD708,3E5F9210,3D89CC00,BF04827C,3EE521A4,3F626570,3FEA5F20,3F0C1CA4,BF8B99F1
3DA94DD0,3F456A64,3E01D9E0,BE300680,3F6559A0,3EC511F0,3DE09F80,BF7E0AAC,3EAED438,BFCA0BC2,3F619AD8,3DE5DFC0,3EED8B50,3F592214,3FF48D30,3E907560,BF8C50AC,BDBB2D1C,3F006B44,BFA92920,3F06C1E0,BE447108,3F1AA0F0,3F069318,3F63A800
3D9F8780,3FA4DDA1,BF0A457C,3F8C77B6,3F7185D2,BF2AF7E8,3FCF611C,3F43C75C,BF8C70EA,3FC47275,BFADC155,BE793D20,BEAF79A7,3F99736D,BF3C1572,BE7DFFE2,BF589D7C,3F2D7420,3F0B4CB4,3E9E5F80,BED5C788,3F4D4048,BF54DFA8,3FF16FB1,3F92E5B9
BF611258,BF86FE95,3F1F834E,BF92AF3A,BF42B984,BE80A291,3F001D28,BF13E358,BEFF58C8,3AB70800,BE4108C0,3F9AF9DF,BFDA78BB,3F10B358,3F9E51ED,BDE533C0,3F1C1662,BF29B6FC,3FB9A90B,BFF31CAE,3D946E60,3F1E72C4,3FB819F2,BF67CF98,BFB9AD98
3F9F9AA2,3FFB8073,BDD1C100,BF65B688,3F834D7E,BF153F54,BF8C4700,3FC91A46,3F4B2F54,3D927AC0,BDE67BA0,BF96BA52,BFEB3B79,3EAE2600,BF5FC662,3EF8F148,3EB8E668,3FDDD22A,BF797580,3EC0A448,3FEF3EBC,3EC00448,BF9B48A1,BEFF1689,BC71B800
3F0A1C6C,BF442B50,3FCC94D7,BF5F5950,3F201144,3FCF0C1C,BF83EF44,3CBEDA80,3F9969AE,BE855A38,BEA6E780,3CBD7180,3DBDC800,3E852B10,3F104C2C,BC127F00,3F88E327,3EDCA468,3EADF210,3F198F70,3F8A85FA,BFCA5876,BC8DEC00,3DDB4F90,BFAA9272
3E80C200,BED306B8,BF88B27B,3FF38F05,BF07D6B0,3F99B571,3F467B90,3E3D91B0,3FBC5CAD,3F31E0FC,BF153D98,3E3F6830,BF368C18,BE761400,3F8A2949,BFA5A628,3F8FF795,BEE37904,3F6652A8,BF1CB27C,3E63CC90,3F2FEA0C,3C539C00,BFA077C2,BF95EE7C
BEAF7A28,3F9DF664,BE72EB88,3F2835A0,BEAB88B9,BF0CC5E8,BF920DDD,3F08660C,BE090CC0,3F0EAC60,BF514DF4,BDF08C40,BEFDD18C,BFB3E52D,BF040968,3D876510,BFA80AD3,3DC9EE40,3FA78B9C,3F965262,BDA6DA60,3F8029A6,3F844334,BF2111C4,BF8A5368
3FE3782F,3ED14510,BFDA242F,BF4B74A0,3F6CBF20,3E79BAD0,3F131004,BEB510E8,3FAE1977,3E1E9920,BF5C15B4,3E364BD0,BD4B7800,BFC68113,3E4D3D20,3F919A0D,3F536ECC,3F7D8070,BF63FD00,BE42A630,3E6CB840,3EF8F104,3F1D43B4,BEEB3D84,3F6F4BD0
BEE3D310,3FD04694,3CE51700,BF352F8C,BEFAC828,BF8C765C,3D519000,BDA9EDC0,BFDD163A,3DECA460,BF67E954,BBAEE100,BF8044C6,3F38BCD0,BDA802E0,3FB065F6,BFB313A8,3FC39425,3FAFE167,BFB4F05C,BF740864,3F41F444,BEF9F250,3E90EDD0,BECFD2B8
3F65A850,BE9463C0,BE99DCEC,3FCF8034,BF37E884,BFF8B740,BF40277C,BF9A2A26,BE96F370,BF004BFA,BF023574,BFAD6599,BFD4D8BF,BF3BF624,BF03CEB0,BFB39D3B,BEB7D3E8,3F335700,BED79A20,3F78D618,3F066BC0,3E0B0110,3F04B7CC,3D73B6C0,3EF3CFEC
3F5342E8,3F77D830,BEE09600,3F35B4B2,BF3F1CD0,BF8FAD74,BFBE0E3F,BEC223A0,BE7F84E0,BF8BC318,BE58D8B8,3F9DA557,3FC9CC0A,BEB78F38,3F33DAC4,3E8B9434,BE37F100,BECC0010,3FC66924,BF0DD380,3FC80AB7,3F66EC20,BF1316E8,BFE86A6E,BF5975BC
BF15F892,BE4D4520,BFD37432,3EC1B3A0,BF1B169C,BFCBC0EA,3F92807F,3F16A3DC,3C9C6400,3EF0D828,3E77F2D0,3F8F7082,3F3361E4,BFBB5F19,3EBA1470,BECDAC90,BF6AEC0A,BE84F370,BF1F7B90,3F28967C,BE985948,3F0E44F0,3E9B2440,BF424B28,BEA8A907
3D37DC00,3FB1100D,3BD8C200,3FE32296,3F33C434,BFA69E46,3FA79BAF,BF5F2DF8,3F44CC14,3EB3E3F0,BF353454,3F40C7C2,3E875E68,BEAA6BB8,BFCCFC86,BFA52CB7,BD808AA0,BE9B4561,3F260552,BE9F0DFF,3D828140,BED3C827,3EDA7BD8,3EEDB038,3FBB52B3
BED4A291,BFD3AB92,3E67CAA0,3F57D2D6,3ECB1E58,BFC93EFD,3F119258,3EECF3AC,3F3C049C,3E468490,3F97AC24,BED8FC00,BFE4571A,BFAA11E0,3F9B5E3A,3FFCECA3,3F00FF46,BE1B6B12,3FECD483,BF5DE734,BE8FFF20,BF523CFC,3F773AD0,3FE0E949,BFDC7943
BF7C8B58,3DCE4EC0,BE764C30,3F736178,BF624EBC,BFDAB402,BF3A4448,BE33763E,BF4BE38A,BF9BE09D,BF9F6632,BE9B0008,3EF3B578,BFB62D47,3EF68D04,3F6A7C00,3F0134AC,BEDF8A28,BF37606C,BF84345C,3E96E450,3E02EB80,3EE998A0,BDFB8E20,3F0C6554
BF1B4B70,3E172B50,BED85470,BFA0DE90,BEE029F0,3E075B00,3ECC8738,BFFFFBA8,BEE16F98,BDB454C0,3E8724B8,BFB17150,BF1F516C,BF81CC9B,BF3A51AC,3F757DF0,BFEABC4B,3F7139D0,BF182CEE,BE150720,BC858B90,3E65E970,3F92B9EF,3FB7A738,3F4EC714
BF8D0189,3EB01884,3FF721C0,BE84C268,BEBEB640,BF0399A0,BFD5BBA8,3FDA6CC4,BD4EEA80,3DA4E020,BD906870,BCE90D10,BDA9D2E4,3DB6F3C0,BF2DD67C,BFBCA7E2,3FD2D9D3,BFB7D774,BF8DE2C7,BF817FFD,3D8F4EC0,3FD13E9E,3FCC908E,3F4DF6A0,BF927638
3F57C862,3E190978,3F2AA648,BF8E8CDE,BF4256EA,BE6C3F70,BC721C80,BEA384E8,BFB35896,3E4C5C30,3F8D3410,BF76A1C8,3F26408C,BEB4CA60,3DD21A80,BFC23454,3F42CAE8,BF9FBCDD,BF8DD448,3F1C2B8C,3F8A079A,3F986154,3FC11B96,BF159C60,3F265210
3F115B28,3FB58224,3EFD5E48,3F039E40,BF1A01AC,BFD25FEB,3F96A3ED,BE8ACE08,3FD00471,BEFBA077,BF0B18B8,3F607B50,3FCE8004,BD4A8700,BEAC5E78,3F209994,BF80DDC2,3E7CFFD0,BE8B1460,BCB2C800,3FD25734,BE6A5E2E,3F770CE0,3FF88194,3F52220C
3E9CF22C,3C65BA00,BF6DDB14,BE116B52,3D91C9C0,BF32DDB8,3FAEEECF,BF874F03,BEF3AA40,3FB0105F,3DFCDD00,3FCEE385,3FBD0249,3F74ED88,3F687BD0,BE73D680,3EF21544,BF661EB4,3DE4B800,BE56BA90,3EE0C990,BF8F43A9,3FA9B3B7,3D509780,BEB9D918
BF4BD128,BEAE2A68,BE69A270,3FD93FB1,3D896910,BE4DCAF0,BF88E9B6,BF723268,3FA87A80,3FD55C22,3F28FDC4,BF80CF1A,BEF30780,3F10C388,3F9E01C9,3F050D28,BED12410,BF3C2094,3FA6D791,3F16A9E4,BEAFAFE7,BF7B638C,3FC07BAE,3DEC1E20,3D2028C0
BEF88A69,BFB11F7F,3F193B92,BE0103D0,BE3A2010,BE138F90,3D678DC0,BF7F47BC,BF2329A4,3FE374A4,3D6E9DC0,BE99B4EC,BFD1C440,BF9A928D,3EFFBEE0,BEC913C0,3CC42540,BF7D0D14,BFA5BC64,3FA43AF4,3F34982C,3DC83DA0,3F796AA0,BF9E4DFB,3DAEB720
3EA010A8,BF894FE1,3F2FA932,3F705B98,3F0261B8,BEABFF18,BF171640,BF41D83C,BFBD37B4,3E032400,3DA6C0E0,3F8EEC11,3FCFF43C,BEB48578,3F10BB30,3F677C18,3EC666F0,BFE42F4D,BFECC031,3F8C2178,3F386914,3F634770,3F229FE8,BDEFF660,BD09BF40
