k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12;k13;k14;k15;k16;k17;k18;k19;k20;k21;k22;k23;k24;k25
8BF0C01;FFFFFFFFECE0C601;FFFFFFFF49D94E01;3A6E5A01;8BE3801;10EEA001;FFFFFFFF78E78201;8EBEE101;FFFFFFFF5362C601;FFFFFFFFB6106301;FFFFFFFF78BC4501;82269101;FFFFFFFF73947C01;4143CD01;119BDF01;FFFFFFFFC97AE401;FFFFFFFF9E6F0201;45DE1301;FFFFFFFF91417C01;FFFFFFFFFF93CE41;FFFFFFFFFC590401;EDD0FC01;FFFFFFFFD36DBE01;FFFFFFFF196DB401;FFFFFFFF4AA3CE01
1AF48001;FFFFFFFFE4FA1B01;FFFFFFFFAA45B001;43B48801;9D724D01;FFFFFFFFAC628A01;FFFFFFFFD55FC401;96338B01;FFFFFFFF510E6501;6635001;16C19601;FFFFFFFF971E3E01;FFFFFFFF95A41201;C9A48901;121BC701;C437C601;4E1B7A01;1EF76E01;FFFFFFFFE5B19A01;FFFFFFFFA8C99C01;A2D6601;FFFFFFFFDAA9A601;FFFFFFFF9EBF0C01;5F85BC01;FFFFFFFF5B133E01
FFFFFFFFF284E601;FFFFFFFFC4714C01;3AE5B801;FFFFFFFFD6161401;BEF89201;5C9E5001;FFFFFFFF8D9AAE01;68A4D401;645EEC01;FFFFFFFFD89A9E01;FFFFFFFF8F581601;5DAC2C01;8B081D01;FFFFFFFFE3A31041;FFFFFFFFA8742801;E4F8E901;9065001;81C40A01;34670401;3B94BA01;87A95B01;6632C701;FFFFFFFFA768AE01;FFFFFFFFAF304E01;FFFFFFFFFFD45E01
FFFFFFFF7C0FD901;87BD401;FFFFFFFFDA329C01;FFFFFFFF6DD4CC01;3425C601;FFFFFFFF36FCE301;9B166A01;1AF16C01;FFFFFFFF6A724601;FFFFFFFFB1F6AA01;3B0C8201;CD3FAB01;FFFFFFFF85D2B801;A81E8501;FFFFFFFF33C0EA01;275AAE01;FFFFFFFFBDC8AC01;B5D5E101;FFFFFFFFE1CA3C01;6F8DC401;1920401;5A340001;FFFFFFFFEF0DC001;67EA601;FFFFFFFFA75E1E01
C9A0CF01;4AFC3E01;FFFFFFFFF3A6DC01;FFFFFFFFF85BFC01;FFFFFFFF863F6E01;FFFFFFFFBBC40001;82E001;28CEB401;24C6D401;22945C01;2BF29401;FFFFFFFFD88A0E01;2710EC01;DE098601;E42F3201;FFFFFFFFE9557601;FFFFFFFF803BAC01;FFFFFFFF97052A01;FFFFFFFFCD597201;2A0E1201;3B586201;6C827C01;7E239001;E0984901;2356AD01
B515B901;6A0B5A01;48C7401;AA819E01;4B23001;FFFFFFFF003B7E01;B9BFF301;3BFE8C01;12AF8E01;FFFFFFFFEF3A9201;F798E01;209EFA01;FFFFFFFF7BC62C01;A39E8901;FFFFFFFFB11D6201;493E5D01;4C93AA01;FFFFFFFFFDB74201;FFFFFFFF45FA8B01;FFFFFFFF50E11301;2DEAD401;731FD01;FFFFFFFF85908201;FFFFFFFF17778201;FFFFFFFFEA249A01
FFFFFFFFC155D001;1B0A7901;FFFFFFFFFA658201;FFFFFFFF6E802F01;978EFA01;1D05B201;6523A201;6B3D6C01;FFFFFFFFD05FE001;56FD801;7D601;FFFFFFFFB92CD801;71D84801;66905801;D844A501;67BCFE01;2FA8C601;71618401;8F05D701;FFFFFFFF6401EE01;B0EB9A01;FFFFFFFFF17F6E41;FFFFFFFF36F6BA01;59663E01;FFFFFFFF0E98E701
FFFFFFFFEFD4EA01;FFFFFFFF4C605701;4461EE01;247E7E01;27D06301;FFFFFFFFE57C1601;6A13E801;65D71001;2BD10201;2270EE01;FFFFFFFFDC057FC1;81E73101;FFFFFFFF9F131C01;67E1401;34BA401;C15F501;260AC201;BC678C01;FFFFFFFFFE3BD9C1;4A213D01;FFFFFFFF2C224601;FFFFFFFFE1C507C1;2275701;FFFFFFFF42317D01;C1F01101
114C2501;12770201;FFFFFFFFAF9C9E01;227D4101;FFFFFFFFE6D67001;FFFFFFFF5BB25D01;9EB62C01;FFFFFFFF06513301;80AC6101;61A96A01;3F28F401;FFFFFFFFB4932A01;68EED401;FFFFFFFFCD771201;FFFFFFFFF3875801;E221A01;CED78D01;FFFFFFFFF5BBB201;C5EBBC01;FFFFFFFFFD348201;1C19BD01;FFFFFFFF9D411C01;683B5A01;BF239001;99A27901
2122B001;FFFFFFFFBECC5E01;2D8E2401;1F69F601;4EB38E01;FFFFFFFF3C6CD001;FFFFFFFF85655101;14DFBC01;46D74E01;FFFFFFFFF1168601;FFFFFFFF9BA93E01;FFFFFFFFD7DA7401;FFFFFFFF3C495D01;24523001;FFFFFFFF84498401;FFFFFFFFFB682A01;FFFFFFFFB5A29801;FFFFFFFF87C08201;FFFFFFFFD8D9FA01;3E1C301;FFFFFFFF87293401;FFFFFFFF9B60D801;FFFFFFFFCA397A01;FFFFFFFFEC292C01;23659601
72546C01;BF22B201;FFFFFFFFF52C7C01;C0D5701;2A88D601;A100B01;660B2301;FFFFFFFF72D13401;DD4A7001;503CB801;E9E6E01;FFFFFFFF5F63A201;FFFFFFFF7E8AC401;864F3301;FFFFFFFFB88CD401;FFFFFFFFDFB181C1;FFFFFFFFE2729601;FFFFFFFFB2F48201;FFFFFFFF5A5AFE01;FFFFFFFFEDF9EA41;9E450E01;E0CFA201;86923E01;36EBFA01;FFFFFFFFCB5B9801
B593E201;FFFFFFFF5AE93401;2A451001;FFFFFFFF1F5E0001;27314C01;FFFFFFFFD0641801;97F7FD01;AF734001;FFFFFFFFB4ECCE01;FFFFFFFFEDF1CE01;FFFFFFFFB44E9C01;63B1C601;FFFFFFFFA0DFA801;FFFFFFFF96D11001;26E9E001;8F104A01;FFFFFFFFFA27FE01;FFFFFFFFE7AA49C1;A231EE01;5EC1AA01;7E7D0401;18688201;C36EB001;174EA601;69BE8701
34AB3801;FFFFFFFFC1881601;5CC13801;B8C47D01;E4479B01;FFFFFFFFEBD7CE41;C7F0E01;72F4D801;47AF2401;24B5C01;86E33E01;FFFFFFFF96F9DE01;37978E01;FFFFFFFFCC819C01;FFFFFFFF11058001;5956A01;FFFFFFFFA5326801;FFFFFFFF7E162E01;4056CE01;FFFFFFFF71041901;DD99BE01;FFFFFFFF44970A01;1C38D901;FFFFFFFFDFFE5401;FFFFFFFF7439CE01
96BA101;FFFFFFFF918A5801;FFFFFFFFD0ED8201;ACA66101;FFFFFFFF78028101;ACE43601;FFFFFFFF9B1F1001;FFFFFFFF779FB401;FFFFFFFFA88A6601;FFFFFFFFD90D6801;672F8001;4B165A01;BB820601;FFFFFFFFC8A60001;32E03601;65D80501;FFFFFFFF93CC6601;FFFFFFFF66E6BB01;AA17E01;81154401;FFFFFFFF71E01D01;FFFFFFFF5D5C2901;FFFFFFFF7D9DA901;31849D01;FFFFFFFFC43C41C1
3263C01;6634EA01;FFFFFFFF75B7B401;8FED6601;B205AD01;FFFFFFFFC7C67C01;78C64401;FFFFFFFFEE067401;FFFFFFFFC04F1401;FFFFFFFF62B49901;FFFFFFFF8748F201;AD89ED01;A93A6C01;FFFFFFFF20433C01;FFFFFFFFB063FC01;1B4BC201;EDD83A01;FFFFFFFFE01C8201;1DF09C01;7A35AC01;A341701;FFFFFFFF9D417001;FFFFFFFFB656B601;527A6601;10121001
63EB9101;8A3FF01;291A9601;FFFFFFFF2B074801;1517A01;8BC8E001;FFFFFFFFE2901001;FFFFFFFFBCBEDA01;FFFFFFFF6EA57A01;5A7B6801;54113601;FFFFFFFF1D41BC01;5455CA01;3CE20C01;FFFFFFFFC6CDFE01;920CD601;FFFFFFFFEC2D9201;FFFFFFFF9D236801;D1494F01;FFFFFFFF441C2601;FFFFFFFF259A1C01;FFFFFFFF2355BC01;FFFFFFFF97672A01;FFFFFFFFB9AFD801;FFFFFFFFC162AA41
532C2E01;FFFFFFFF98B8B801;20CB3A01;FFFFFFFF7C0F4501;24D8EE01;FFFFFFFFC7196601;FFFFFFFFADBF9501;7DF2A801;EAA91601;FFFFFFFFEB33BC01;6D4B8601;84C38301;FFFFFFFFC40DD101;FFFFFFFFB755CF01;FFFFFFFFFC152001;703EEC01;FFFFFFFF0377B201;A6DCD901;4419C401;5C5A6801;E56DE01;5A2B1401;589DAA01;FFFFFFFFFB4B9DC1;FFFFFFFFF81AC7C1
FFFFFFFF3F988201;53CC4001;FFFFFFFF3EC42E01;9BC66201;8C307D01;FFFFFFFFEB02A001;A37F0A01;22BD7001;FFFFFFFF8EA6CA01;FFFFFFFFDCE2AE01;6C329601;315D3001;18471601;FFFFFFFF22D8C301;BDB13801;6B6FC201;9439C201;A9431601;E5A0BA01;5D78B701;FFFFFFFFD0754801;39469F01;FFFFFFFFAE485001;FFFFFFFFB19F5C01;FFFFFFFFB7A9F801
177D9E01;9237E01;FFFFFFFF2A053A01;532A7A01;FFFFFFFFCC7E1901;492B201;FFFFFFFFC9C77301;6520801;48FB7401;2D327201;F14E401;85F5CD01;1FAAD401;88322001;D744D801;7C743801;34347C01;3510F701;12DE9701;46629001;FFFFFFFFBBAE8401;FFFFFFFFC0FF9841;FFFFFFFF8DD0B801;8D8F0B01;FFFFFFFF7ED44001
FFFFFFFF5B895001;FFFFFFFFBFFE2001;FFFFFFFFFC420601;FFFFFFFF8E979601;161AE01;B5385601;5CB5C001;FFFFFFFFB0043C01;12223C01;FFFFFFFF7032E101;FFFFFFFF56CF4801;5D44DB01;7257F401;81438401;FFFFFFFFB5DD5401;FFFFFFFFE8817B01;4B084A01;3E5A8A01;1083D801;FFFFFFFFE6279401;FFFFFFFFF4F94801;FFFFFFFFE9E72001;C865601;21F38201;FFFFFFFF2999C901
FFFFFFFFE4886B01;FFFFFFFFA74FC901;FFFFFFFFFD46EC01;FFFFFFFFCCDC8001;FFFFFFFFF1877201;4834F601;FFFFFFFFC7A34A01;43B45A01;744C8001;E847E01;44051A01;FFFFFFFFA95DE301;323ADA01;8E33DD01;FFFFFFFF37BA8D01;BDECAA01;38B8CF01;FFFFFFFFFEC39201;D37DD701;FFFFFFFFFDA7E241;FFFFFFFFBDA96C01;BB643801;FFFFFFFFC4FA1C01;26D3AC01;FFFFFFFFD432FC41
95EE2101;20C80E01;45B25001;39BEFA01;FFFFFFFF9FE77C01;FFFFFFFF8861B201;9F76AE01;49462901;FFFFFFFFDC801E01;FFFFFFFF5D7E4801;9193F501;161DAE01;FFFFFFFFD88E6901;FFFFFFFFD1753601;FFFFFFFF8A8A2001;FFFFFFFFFDB05E01;841A5801;FFFFFFFFEE573801;1A76F401;FFFFFFFF6F82E701;8B0BA901;D1F3AC01;2EBE5801;FFFFFFFF4E8FEA01;8468A01
FFFFFFFF66971201;FFFFFFFF31F55E01;FFFFFFFF9B9ECA01;FFFFFFFF6B936101;FFFFFFFFEEDEA701;FFFFFFFFC4498A01;FFFFFFFFB8E2B801;B87CA401;FFFFFFFFEEE73E01;4759D301;FFFFFFFF7C9FA301;FFFFFFFFFCCE6401;3A7BA601;4F1E6C01;FFFFFFFFA4E6B701;FFFFFFFFF4113601;FFFFFFFF77E21F01;FFFFFFFFD5C69C01;75BC9401;FFFFFFFF76001501;FFFFFFFFF8AD4201;20D66C01;FFFFFFFF7B482101;FFFFFFFF32974001;981E5F01
309FEC01;31189601;80020B01;FFFFFFFFFFA035C1;FFFFFFFF8CDE9601;18A72A01;FFFFFFFF0D137B01;FFFFFFFFC6F71801;41986801;4AEEA801;FFFFFFFFF3E43601;FFFFFFFF8AD25C01;C391E01;31191B01;5CC3A01;FFFFFFFF9123B201;F550E701;FFFFFFFFE23A8001;FFFFFFFF9DBA5401;6D288A01;6EFA4C01;FFFFFFFF71D36301;35ED7A01;A6FFB201;FFFFFFFFB9152C01
E4A9D401;FFFFFFFFC4E747C1;FFFFFFFFAD936201;FFFFFFFF80B7FC01;FFFFFFFF645A6801;7981D001;AAE9301;1D491401;E567FA01;FFFFFFFFA1051601;FFFFFFFF9561C801;FFFFFFFF6B045201;4AE32E01;FFFFFFFF78087E01;FFFFFFFFD21EEC01;FFFFFFFF7D9BDB01;FFFFFFFFB451EE01;ED5B3001;5100D801;FF7F401;49C3B801;9E299301;FFFFFFFFB8FDE301;3F5BDE01;23888201
FFFFFFFFA804C201;C4CB5001;FFFFFFFFAC694A01;BF498B01;9C809501;FFFFFFFF87B3F601;5408B401;FC94EB01;FFFFFFFFC3780401;922CEF01;8C274701;FFFFFFFFBA869C01;47428801;FFFFFFFF41DB7A01;3D49B601;FFFFFFFF576C4501;24A04A01;FFFFFFFFAA77D801;FFFFFFFFF3D25001;29301601;CD856A01;FFFFFFFFE8BD3201;5ABA5001;ABFB7201;FFFFFFFFE5CF9901
AA9D4601;7E85E401;2898DC01;4DD6E801;FFFFFFFFB114AC01;659E6C01;FFFFFFFFE323C9C1;FFFFFFFFEBC6A601;66CD6A01;FFFFFFFF43D11E01;FFFFFFFF2D2BAD01;ECA01;2E6FC801;AAAA5901;18967401;FA5DE01;F0E22401;2B165201;3EEB6601;FFFFFFFFCC882C01;FFFFFFFFEBD805C1;F0D48801;FFFFFFFFB98BE801;76B3A401;114A6E01
29477401;2A2EC01;34CA7801;FFFFFFFF61DCB001;FFFFFFFFE87F9801;FFFFFFFFD7B97E41;67BEBA01;FFFFFFFF8FC98201;FFFFFFFF4A7CD201;75035C01;FFFFFFFF6AE39B01;FFFFFFFF862E7001;C3B99B01;3E254801;FFFFFFFFDD5C2E41;FFFFFFFFEB3BCF01;43408A01;FFFFFFFF53B77701;FFFFFFFF92F57601;2D2AA001;1699E901;FFFFFFFFB6A0B001;FFFFFFFFF374A801;348BEA01;21A29901
FFFFFFFF1E5BFC01;78D0C001;FFFFFFFFF6A9AC01;FFFFFFFF1A07D501;FFFFFFFF2AE63001;5B16F401;7511001;662CDA01;FFFFFFFF8D097001;3EA4C801;FFFFFFFF5BF7BE01;FFFFFFFFF8DE7BC1;2B34E001;FFFFFFFFD9772DC1;3200A201;FFFFFFFFF3235E01;FFFFFFFFC8D18A01;FFFFFFFFCE0E2801;FFFFFFFFAFC26801;FFFFFFFF27D7DE01;6D31A001;19BF1E01;ADAD2901;FFFFFFFFC10BF001;FFFFFFFF88462C01
41573701;FFFFFFFF7C9CA401;200A5A01;9D16F101;CD1B7601;F0E9401;FFFFFFFF9AD56801;FFFFFFFFB1891201;FFFFFFFFDAEC8FC1;FFFFFFFFC7949801;CAAD4701;FFFFFFFFD1468201;FFFFFFFF8B79E201;82675101;FFFFFFFF9CAB7601;2C759601;FFFFFFFFFC1AFA01;402B9A01;FFFFFFFFBE8C7A01;FFFFFFFF583A9901;FFFFFFFFE364EE01;7C24201;FFFFFFFFF6C97E01;24C98401;25F42001
4C045001;FFFFFFFFB9E9AC01;B8F7EE01;B8C74701;68070401;FFFFFFFFBAB0D801;B54E5301;FFFFFFFFE0167A01;75851801;FFFFFFFFD13F3F01;3239F001;FFFFFFFF75435C01;FFFFFFFFAFF3EC01;25668201;C2157801;15FCD001;97565601;1215FC01;5D634001;FFFFFFFF842BA001;8CD3BB01;85786B01;FFFFFFFF7BC94F01;3A44D601;FFFFFFFFB9DEAE01
FFFFFFFF51813701;FFFFFFFF782A0401;FFFFFFFFA1175A01;FFFFFFFFAC847A01;FFFFFFFF24EC4601;42B19801;63DCFC01;FFFFFFFF73F48001;B96A8E01;C6ECAD01;FFFFFFFF9C7E2601;FFFFFFFF47299101;16CD5901;FFFFFFFF1EFF1501;46C72A01;FFFFFFFF8A4DD601;FFFFFFFF7C9EAC01;FFFFFFFFAF0C5A01;22244A01;3C76FE01;FFFFFFFFE6B22201;B6116101;3251C001;75F4CC01;FFFFFFFFBC5AB201
FFFFFFFF845C2201;FFFFFFFFBC536A01;FFFFFFFFB7D00A01;FFFFFFFF9AE61E01;FFFFFFFFE2A38201;21F22E01;8578C01;8CF67101;FFFFFFFF07EA9E01;CF974901;FFFFFFFFFAD67E01;FFFFFFFF8985D801;FAF5E401;A7B8C01;FFFFFFFFB8860001;FFFFFFFFF2E7D001;FFFFFFFFDB17BB01;FFFFFFFFA4199F01;30837201;FFFFFFFF0DA99A01;FFFFFFFF8CE72E01;FFFFFFFFF21A2801;63A6BC01;FFFFFFFFD1E6E601;FFFFFFFF8B6A6201
FFFFFFFF5BF7F601;FFFFFFFFAD041C01;E244E301;220B9201;FFFFFFFFAA713701;5F09A101;FFFFFFFF4B1A3C01;15CF9001;362FDE01;FFFFFFFFE1DD7A01;FFFFFFFFEDE1ADC1;FFFFFFFF74D87E01;6859C801;212AD901;55636E01;FFFFFFFFEBC709C1;3B46FA01;17366501;FFFFFFFFF94B2601;6983A01;FFFFFFFFED628DC1;FFFFFFFFE8282041;FFFFFFFFF3AFC801;11CA8201;FFFFFFFFF561A801
FFFFFFFF2CFD3A01;FFFFFFFFE3350E41;FFFFFFFF90292201;62554C01;440EBA01;FFFFFFFFC33A7E01;FFFFFFFF83586201;547F6601;796D4001;FFFFFFFFEFC67001;FFFFFFFF559EA801;FFFFFFFF5DEABB01;249B9A01;FFFFFFFF1B229E01;1B43EC01;5DF8DA01;FFFFFFFF7B3B2001;FFFFFFFF9F8CE601;39EA4401;FFFFFFFFDD3CB001;FFFFFFFF3CA11801;4E49CB01;FFFFFFFFC1EE0D01;FFFFFFFFF8EDE9C1;FFFFFFFF6C5D4201
FFFFFFFF38678C01;D0CA5501;FFFFFFFFF5712E01;1597D501;1907BC01;FFFFFFFFCFAC1FC1;4D649801;FFFFFFFFB2F39C01;50E35401;FFFFFFFF7E86BC01;FFFFFFFFE630CA01;993DD501;1186B601;F0EC5B01;FFFFFFFFEE658E01;24B0C001;39C43201;FFFFFFFF75D60B01;FFFFFFFF6C324201;5D2BDD01;FFFFFFFF5BC7E101;C9010801;FFFFFFFFE9728201;FFFFFFFFE889DA01;71529C01
A74A3701;FFFFFFFFA5828201;FFFFFFFFCBBD3C01;4E5AF001;FFFFFFFF3AFFB501;FFFFFFFFE1430201;FFFFFFFFE6392601;FFFFFFFF95E75F01;FFFFFFFF20DFE601;A1087101;FFFFFFFFC9239601;FFFFFFFF9E04DC01;3CC67001;FFFFFFFFE931F201;5FEB3001;F2A8B201;FFFFFFFFE10FDC01;2397BF01;8DFDA401;FFFFFFFFAE82D601;6347F01;5CFA9801;FFFFFFFFCA92F001;FFFFFFFFB6FDB001;FFFFFFFFABDEB201
3DC7B201;1DD6E601;FFFFFFFFF0269401;FFFFFFFFC7738401;FFFFFFFFC6659401;9BFC1401;69C37401;FFFFFFFF3A89FF01;B41F3001;FFFFFFFF67B17501;BCEE1901;34A48001;88CC9C01;FFFFFFFFB29FE601;FFFFFFFF8403AF01;FFFFFFFFAAF55001;FFFFFFFFF0D5B301;925F1101;35881401;FFFFFFFF6B231B01;76461C01;C4AD8301;8A1BC901;FFFFFFFFA060BA01;51024C01
DAC8CB01;FFFFFFFFBE89A901;637F5C01;FFFFFFFFD6F24E01;FFFFFFFF7A59C201;FFFFFFFFF6C5FC01;4F0B01;FFFFFFFF9F070E01;FFFFFFFFF954B801;FFFFFFFFD73F5B01;419E4601;FFFFFFFF957E5A01;FFFFFFFF69E4BA01;AB6AFB01;41DC0201;FFFFFFFFFF939201;FFFFFFFF751CCE01;1F702A01;830D0401;FFFFFFFFC5ECDE01;51DDF601;FFFFFFFFC4087A41;FFFFFFFFD440C601;4096BC01;4257E601
FFFFFFFFAC76E001;FFFFFFFFD5156E01;FFFFFFFFFCC9E001;FFFFFFFFADA82E01;3A19DC01;FFFFFFFFF3D02B01;FFFFFFFF8ABD0601;FFFFFFFFD7B65801;FFFFFFFF89F79601;86B00101;FFFFFFFF8266EE01;60B45001;68198B01;58163801;23E2A801;85298901;C05BEC01;FFFFFFFF72EF4D01;FD35FB01;FFFFFFFFB58EA601;FFFFFFFF91F5F801;45AD6401;F5A28801;FFFFFFFFD10C1801;48FC801
1E9AC201;C3799D01;82115F01;48501601;FFFFFFFFB5CE8A01;218F6001;FFFFFFFF8CCFA801;FFFFFFFF5E9A8D01;73246801;FFFFFFFFE73FB901;F1F00B01;4A52DC01;FFFFFFFF827C9801;FFFFFFFFD233FC01;FFFFFFFFCADDE901;FFFFFFFFDBBA6201;FFFFFFFFCB4B3001;FFFFFFFFF821E901;6F91BC01;FFFFFFFFA7DD5201;FFFFFFFFD2AB5601;8C8A4201;C2E0F401;DBDD7901;11F7E301
FFFFFFFF1D89F501;FFFFFFFFCEA07C01;FFFFFFFF9158D801;2843DC01;C831DA01;FFFFFFFF3B225901;FFFFFFFF29217101;9CF4C501;56029C01;DBD90501;3ACA8A01;4A9B8D01;FFFFFFFFD0AC9A01;4A9D3F01;FFFFFFFF67147C01;44C26801;5C2C7A01;232BF401;FFFFFFFFB75DC401;7D970001;FFFFFFFF29411901;FFFFFFFFC2C1BC01;FFFFFFFFCD892E01;FFFFFFFF94634801;3824FA01
FFFFFFFF7DCDEE01;FFFFFFFFA47E8201;FFFFFFFF4A38B101;B7A33901;FFFFFFFFCCB4A801;69FB5201;1AE95C01;FFFFFFFF95DBD201;7C627C01;FFFFFFFFE59F8601;FFFFFFFF91763E01;FFFFFFFFDF25AA01;FFFFFFFF9ADFCE01;FFFFFFFFDFB15E01;FFFFFFFFEF605801;FFFFFFFFFD3DA601;23FA6401;D313801;39F88E01;2692FE01;FFFFFFFFB5EA0401;FFFFFFFFF366D841;FFFFFFFFC97CCC01;FFFFFFFF10B9D401;FFFFFFFF8D768C01
FFFFFFFFFC379001;CB05F101;FFFFFFFFF45F9401;FFFFFFFFB89EF001;FFFFFFFF9218F801;847A5301;FFFFFFFFAC64C101;FFFFFFFFD9313E41;FFFFFFFF84509801;FFFFFFFFCA57E601;53B0E401;FFFFFFFFCC71DA01;CD484301;FFFFFFFF8488A001;FFFFFFFFDEADBA01;FFFFFFFF0C7CEE01;7DD06C01;694CBE01;FFFFFFFF85CA5C01;A3974701;4B992E01;537CDE01;13B62E01;5E65F001;6E0D0001
FFFFFFFF9EE03C01;C8FAA601;BBC5F901;8CE3D401;FFFFFFFF030F2E01;6F60B401;54DC0701;76CCF401;19E50201;3CA91C01;E0927D01;75E2A001;FFFFFFFFAC814001;FFFFFFFFB406A901;A6B39101;FFFFFFFF30EDEC01;FFFFFFFF8EEFEA01;FFFFFFFF679B6101;FFFFFFFFE7CFAC01;F26A8901;FFFFFFFFD8B89201;FFFFFFFFB291A001;FFFFFFFFFDC46801;F3F55801;491D601
