c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
0.75750094949620661+0.53648510603291533j,0.37541057770601355+0.75074862540402909j,0.78027477642677379+0.23723163929054900j,0.51383581742460016+0.31287394119160422j,0.29078425127857371+0.59502299017130933j,0.83816912409121724+0.49508297633475196j,0.42050923441689608+0.67502299061834403j,0.98912314375651211+0.83408043202796633j,0.52379367385174147+0.79167431979082237j,0.58697556838994880+0.48128869613145342j,0.70476600337080064+0.72783660090812852j,0.50168142683939965+0.75613366406008520j,0.98777812531270848+0.84288691573095709j,0.18147706865591465+0.83815088227522627j,0.18063524661306068+0.27814062761233754j,0.82431750608002041+0.52292486953018780j,0.53222362102894372+0.25004914414797730j,0.93791179299470895+0.40670140719489095j,0.83870289860746949+0.41032199276488629j,0.32056234043454640+0.75509331151048109j
0.12665301783266755+0.23735909032426852j,0.82162703612739896+0.61620774556773517j,0.37520347530594739+0.94872221985896332j,0.0046322333597297854+0.46637444274585027j,0.19970158393244899+0.58952511991822754j,0.82858147818102601+0.95999002624263430j,0.79120664170596799+0.18300309803116255j,0.60653958216116854+0.47336250554575160j,0.90479826550364895+0.67025406797025022j,0.33822109212576940+0.75354784496667027j,0.90601782035618594+0.90616871417702027j,0.037173878010259696+0.75869149737468644j,0.27660194063147703+0.51900776946714988j,0.16536076043530551+0.054391601413155855j,0.80634642370950549+0.52942178491542558j,0.59663137081715467+0.21803077009162611j,0.28705137940094155+0.78680197702635302j,0.34290685185560998+0.0077631937618700027j,0.76092114331121274+0.33011035623931273j,0.31738896247840509+0.44936910187656603j
0.62885655530393336+0.76348731987942886j,0.20416303228300850+0.86587095381646761j,0.49976679099731847+0.73359443496704280j,0.74891012891072672+0.068556688645537128j,0.084934323196959260+0.80224313037035178j,0.88970610854449472+0.99326938410657151j,0.99037323388351151+0.94867176359384131j,0.14289485437146482+0.41894876845676615j,0.15901801014157485+0.14393436640241208j,0.54528214193367386+0.41355713836492736j,0.17160179726134614+0.44562559382904954j,0.78785571454452930+0.18877550263233339j,0.41878010500050483+0.98426243228013743j,0.85266323735768512+0.50087814199488601j,0.64646575225032221+0.59049898208696905j,0.31169307906828375+0.14610650735863134j,0.25667382302567077+0.30223737596076711j,0.20529552802914708+0.047085112427470439j,0.33155739455594546+0.91493932193603289j,0.77127977160679984+0.26879661336900246j
0.61184836970973233+0.99238794965342225j,0.56950892946136022+0.33693248761783351j,0.18638407571364457+0.60728823282732491j,0.54437741929296324+0.15400869915761928j,0.46592175429842764+0.57557348437781619j,0.58570209554614294+0.32480200967200540j,0.73001084432514318+0.72660491371593183j,0.50604001526413445+0.88062521715329012j,0.25450225902380930+0.44695921754070167j,0.65840461848508092+0.98487339388310635j,0.24373044665767202+0.34031122919472540j,0.65468315763774587+0.79862756742320018j,0.097295195921366678+0.38743761784033659j,0.51416493100301219+0.74696332378866115j,0.32883369640953036+0.020366133531146340j,0.58863105999009568+0.16287026453948197j,0.81928618002651343+0.99453466457102546j,0.19607628214474915+0.15866732014656137j,0.77717505444766777+0.84724947484964586j,0.51850467783999410+0.44904018806685414j
0.24896435866224087+0.089924129957123969j,0.66379000545579359+0.11908006161535378j,0.33495244638573213+0.85945769727877364j,0.034096004859618965+0.82078846160649122j,0.94827298941239713+0.94789528174842463j,0.50911540969964475+0.93892040653537512j,0.79376396232747159+0.21901711710563582j,0.38478260799614711+0.95936831345143847j,0.41936571041405368+0.89753294656532656j,0.065949779751585322+0.25076531586938106j,0.64967140472590301+0.33577279585445591j,0.19093760625910744+0.46680935084763581j,0.0079394242143496045+0.34735336924206228j,0.33582192125956617+0.81892520264193358j,0.71693999503734362+0.57307220376615176j,0.80371667645681366+0.81501292124208746j,0.55767943123483532+0.19064519377650724j,0.58591176932793942+0.95215777770309107j,0.075665245033588957+0.13790300615213574j,0.41127931697235448+0.47757518365694607j
0.24814420430560424+0.62836865773952244j,0.52593165016928134+0.97725378631919979j,0.88199145112618316+0.51304860162042498j,0.62852513716771918+0.043657682235773092j,0.49066083119538079+0.26376039461215606j,0.75549873254140332+0.16380346888829680j,0.36183479649757788+0.77151511170844600j,0.41476227680909994+0.75108850367484592j,0.29206093252877613+0.48889491407017482j,0.67879436011310557+0.44333327965965813j,0.061982791530218448+0.18089491658660914j,0.55844420495804170+0.82245344245272645j,0.70229744524475179+0.10857196302554402j,0.070902436052778156+0.15375417427583790j,0.32958192192691471+0.12892525501486199j,0.80168888165780883+0.32290143261040577j,0.77658477239762536+0.49623678539885424j,0.56875986063135120+0.32508907729413833j,0.61585612145614232+0.096598201063855860j,0.81283669550489435+0.95942514741380391j
0.57864897473955546+0.48154835586045319j,0.39809025956209299+0.96222885781407763j,0.25442900398115825+0.57449031939342365j,0.66456906473653743+0.82582348268245931j,0.44452907135010189+0.36288327995924152j,0.97969075631057378+0.60335730821144240j,0.37814664800766085+0.26451585184961851j,0.42694212975449825+0.51313266792161139j,0.48345623728529463+0.70621497697582003j,0.97734571344888832+0.80786195381929282j,0.86950475299167462+0.50598775269880747j,0.72212878818667670+0.75897428044714521j,0.12068842642871463+0.73280554371348960j,0.86696828142381277+0.15062859365876288j,0.82361325947899533+0.81558002639762062j,0.90337670724234365+0.12285431821021089j,0.28967546654046206+0.80683573222767269j,0.45804208933076618+0.52158442481172917j,0.24237445909615046+0.11012493742658720j,0.70160321734671971+0.73055149619321991j
0.62740456048836235+0.70488685179286603j,0.81945401507131188+0.76342223253608055j,0.76881574995319146+0.96783428698122043j,0.21193219116620501+0.47110336182815193j,0.20251854379385492+0.25920793043108331j,0.76826404840799090+0.92965706531929160j,0.18652249726206599+0.17314943890911599j,0.42104201381493794+0.60674399490153275j,0.096809193598470206+0.36721276920898061j,0.25405012564466317+0.19406099687106157j,0.72187658322952053+0.89833060948089605j,0.60770378711392137+0.028688883147460847j,0.34581783339125771+0.92880485064741614j,0.82601583246669830+0.98581314356723471j,0.29211944566581011+0.21102390249121505j,0.044662198888271450+0.0058715387708883592j,0.72187363838742302+0.87488222046056063j,0.30038431637578905+0.55403354023250218j,0.95386638216610919+0.16554778119156169j,0.19828892911530943+0.40068657093604876j
0.60915707553659970+0.41136198116734934j,0.21139755191690801+0.19007979154436916j,0.49558277713346011+0.90840808777822346j,0.94669128883106424+0.76730680755389635j,0.42901891677947995+0.46675274645629405j,0.78368723467616908+0.81141525738420583j,0.29736887164244091+0.13577965672187053j,0.019380452878465137+0.27026021246431253j,0.45216426366658902+0.85073022046688251j,0.00040898427123374368+0.47942136775274491j,0.23200172265998339+0.97820442875259195j,0.47446262153299562+0.71551376060520600j,0.94703890918675027+0.81119783220431407j,0.15671044137346876+0.12233878830391749j,0.77545730067131446+0.59747645807708449j,0.98496316034433640+0.94713234412774683j,0.61986465551354597+0.0025769966743163326j,0.48935403562853619+0.88538027659865082j,0.96385543324412204+0.47811164224496461j,0.24595315424074282+0.79591180181712828j
0.66564482617182996+0.82908384197956086j,0.092843783968929783+0.57857661982020836j,0.44767868148753698+0.82638384925323705j,0.55614493241175866+0.20223560612184258j,0.94461076720241044+0.18829947384328324j,0.93607129741742101+0.75475298061687501j,0.80025362596919514+0.0061365643151141428j,0.50597311742962936+0.79969649527883091j,0.040367449834585685+0.26597942021128235j,0.69794726293790821+0.55200520945733433j,0.71962692130742834+0.070133251585683828j,0.38126440458347682+0.53730285198927863j,0.67920057230258624+0.96141916686698092j,0.11596031573443968+0.19805010959238672j,0.82178722873884757+0.23586565072116408j,0.10477373278968355+0.66752118977685382j,0.030989894473059519+0.39336506018230150j,0.53438109551667734+0.20840667780235722j,0.41563291537053698+0.99042699727522698j,0.24515547130173723+0.42287607674694838j
0.39213600211383703+0.22306694833593893j,0.88657890649475313+0.32773071707091739j,0.93748355455980548+0.89188437480952965j,0.57355849852434826+0.18411349209474681j,0.11153332445785967+0.30407857049567494j,0.20560791365647305+0.25789930015869411j,0.48426540296643839+0.47128490920142047j,0.72977612541567882+0.91027940640866090j,0.096257363996410522+0.74485764667061005j,0.027387297399304882+0.37032962892112176j,0.89829874288076039+0.22130881241115188j,0.66695038820187569+0.65327408375604745j,0.11646198662895167+0.74214426664740751j,0.43481443447956120+0.89100309309328862j,0.42996062922601197+0.85283996606776180j,0.45124942127438211+0.35571374336055789j,0.54907972629730328+0.87195340083727391j,0.94238814762932643+0.88608779866130050j,0.66785158578650183+0.11689322392266407j,0.81347032643154926+0.62018161114092651j
0.93593060437315023+0.29388663451204200j,0.93222018668368078+0.38148551360995836j,0.83252868278181857+0.33468369136010873j,0.63821370305873548+0.51590281205798350j,0.37475509795089335+0.74705335102022230j,0.036649397628008687+0.76580491759507674j,0.93714930334020718+0.85115324302950035j,0.11307030665267984+0.60626246665246186j,0.84613175965901277+0.68886826026895975j,0.35782338698161131+0.65588926186346652j,0.81783117331361688+0.024089644219549212j,0.66644289933500978+0.97877089036420051j,0.48060419822640471+0.11412554313459930j,0.24572379835253666+0.66670774420264889j,0.42813624227027353+0.62124800673037672j,0.28911428785636706+0.27953904204108632j,0.92880843158285720+0.37811764894984595j,0.38509330466991720+0.59227291044927888j,0.22771278179976412+0.39905731748783507j,0.47354680730564358+0.28589156703128571j
0.40488338396655671+0.60910494149379313j,0.72635570622060075+0.26866178439755484j,0.041022618062292390+0.16275627530845008j,0.49235256940590510+0.13848344319085221j,0.54551119188240216+0.53037390256383432j,0.40265613199480321+0.80790591131523204j,0.14655132240469651+0.53351156429782542j,0.10452982032905997+0.51763453241387991j,0.80010181479558851+0.75936034347192660j,0.96948864376476529+0.20136345928343627j,0.72228678334242358+0.57196467119129124j,0.58040417187584192+0.56857911698949637j,0.63132143517132810+0.77361071377848611j,0.13718229562998496+0.19428409985925427j,0.99670756455517318+0.078070816414439609j,0.21835772300157952+0.72953621950492986j,0.50309795176765126+0.11694762154507791j,0.51517707658468248+0.31724451899797784j,0.60662284659358645+0.89281775378133410j,0.17099129852571507+0.018251142721319131j
0.52535951819995264+0.18266742328495261j,0.10771744333020515+0.87045556585710460j,0.70686384806568925+0.22412207678443546j,0.21787843272074398+0.44118752027905422j,0.97588381681131209+0.88316469735884828j,0.62993842109328280+0.46796404466821895j,0.88433919994571630+0.94542081484606733j,0.10709527139696182+0.55154431931733372j,0.66731230948192222+0.010633558455785933j,0.32225075894562205+0.80376266935832030j,0.99464661280855438+0.67863166457213864j,0.56232860349022262+0.40058826471213288j,0.70132196443731154+0.40740366914743098j,0.95824810045356135+0.54428031214690964j,0.56220400742596865+0.19852337421592603j,0.34714800375866650+0.15545739662548436j,0.012223032786956864+0.10954748574250182j,0.56697753732702150+0.50623557531741525j,0.76712742969665126+0.59645811780306390j,0.56351975626273865+0.73610954851345556j
0.21608586347070405+0.92211367347261786j,0.71633475128954782+0.44125365955129225j,0.50111662717299121+0.88248093240469483j,0.76894366525123281+0.59291937407019746j,0.54515971072883018+0.40206327437207873j,0.72371331719478071+0.63833179290322573j,0.42871403761240251+0.24861215945893547j,0.11810115959430023+0.40881854796296674j,0.86076864514748153+0.86284453391180449j,0.59265387727673025+0.33522554277170902j,0.29634907338287214+0.56983140690050416j,0.63205118278243944+0.076677738929915931j,0.88450688504757424+0.65189293930814463j,0.28461413140976799+0.18785906441883168j,0.16924220481216287+0.41939691484381258j,0.31959980780537345+0.068406226492733202j,0.85059196655653113+0.41511148087888683j,0.75182014652747153+0.96451598917313619j,0.44359359923072811+0.54300139339413311j,0.18446219883825915+0.062040108383357967j
0.24633219183340446+0.14780588800250546j,0.82898701935256514+0.96592234545545430j,0.87375143462273674+0.89978215772727477j,0.43895587758684890+0.18976010760739834j,0.86386825024559977+0.92211335076933298j,0.61945832038948057+0.11620698444433193j,0.32435163462994970+0.70299378072585372j,0.18129326468795851+0.19521938943939621j,0.0032059844920917730+0.36228158268795019j,0.084281261620999720+0.56861678386685632j,0.87532688137273362+0.56234534634247046j,0.040060333164934139+0.13365651870183809j,0.77483926474178866+0.78142018496092047j,0.86316205764597798+0.43586808771304114j,0.36991282573090334+0.78375759051153060j,0.55386373916567089+0.081289705778297333j,0.47391646228865592+0.27326639007201509j,0.038337622423981192+0.24826518730378702j,0.68986662181031888+0.12639184470442416j,0.79959550963976178+0.72764481643671464j
0.37991606969985381+0.0039154385834989430j,0.91561850711124448+0.54958818420534639j,0.43132064755179600+0.38039537069089935j,0.35686153095831563+0.78285311467131202j,0.81845332196379494+0.72580531225234657j,0.24440594984893904+0.13187759845033070j,0.045590173860622842+0.092729833853447560j,0.66381309247767084+0.69053788748370371j,0.48615220390396902+0.53792107697729452j,0.24298673339834032+0.0015537860486990807j,0.73721730134611363+0.41801971734113719j,0.29966599655878190+0.41359938595255186j,0.28815737622481574+0.77139004486061191j,0.83891870980527561+0.39901109780927263j,0.063647363525827241+0.0054428356060017844j,0.83032148684250318+0.24553312960561130j,0.35673599332690142+0.11792041734942932j,0.27861449666425170+0.87396584790530307j,0.70473208599827453+0.97812468704795197j,0.034579097730677182+0.31132003267398173j
0.10392345061222689+0.29829597675947322j,0.39392129959692657+0.22156179083173688j,0.73276412593431195+0.12406943344785892j,0.91047274944846512+0.38693955395829882j,0.15610608843575086+0.61586967220013933j,0.67343005316404236+0.24943200927307815j,0.91326297103769549+0.064789986474043021j,0.17157239913179223+0.50241527133867880j,0.36562397893426785+0.50746143522403198j,0.066963526742486040+0.92336206998944836j,0.67034327470659072+0.99411193397804631j,0.088220412609509510+0.57806571206803570j,0.21818769329504714+0.89041949328298353j,0.31664268808189178+0.97847635400038491j,0.84549762861211541+0.65709013671272376j,0.14956522347081608+0.25053218765893714j,0.60141815250764619+0.34302304506160197j,0.73676438612163520+0.18649553407547975j,0.18714072876934015+0.67582195598858563j,0.62629546748246623+0.051818043647582405j
0.33321403401121097+0.70520041414631163j,0.73416406586949823+0.76185966737478428j,0.44686612392944219+0.89028837097552960j,0.30247619548368981+0.93999116118030834j,0.45294278184889558+0.82763800367211304j,0.31082523773431026+0.92284356450741134j,0.092125796168433638+0.26375315218186790j,0.059816790318315348+0.27889480474687051j,0.54278204363606464+0.65356252694167749j,0.13711421455010198+0.56112381987996507j,0.13309933492608503+0.62458835546393299j,0.20423773227269126+0.29381515410462711j,0.73332705503925522+0.53377972746792923j,0.83742788395908030+0.82416438639814471j,0.16771115979899087+0.91141204837244949j,0.43645696672556933+0.94009881043266263j,0.54597518286103763+0.10791506300344127j,0.064857057534553855+0.32460205191335317j,0.089449323529001382+0.54841631539882363j,0.74341255062728351+0.67883528103167001j
0.40644986114848242+0.64979461591343379j,0.84694934496222563+0.037783311778484534j,0.38660621310655330+0.23412411655324925j,0.66642451083570742+0.89492831289251462j,0.95083798599486458+0.87421355876519746j,0.24027179108145702+0.50640509372783393j,0.35041017075295700+0.93121737202325494j,0.38363775965255120+0.58078856364219700j,0.55556943603949605+0.49160006120149191j,0.67976688164294796+0.40004607988703766j,0.45844039086598493+0.21920798655258394j,0.88208958039880292+0.23887165463719964j,0.26984827543473905+0.60105673972974549j,0.98135532318390828+0.65432287548549550j,0.92311432234231072+0.30889644346022810j,0.77833345400092202+0.31929582224234171j,0.37783553689532867+0.31856500873250160j,0.28093685343844410+0.96635317576118551j,0.40847581146305528+0.79983231191790805j,0.80346897584146793+0.041899763309154521j
0.35412063081760520+0.34540876762929545j,0.72106527317806390+0.14320566978886784j,0.45388782330810234+0.36419715544057851j,0.12282781416567214+0.90286426653315255j,0.92341219656636597+0.51430215487055519j,0.071751061407308983+0.61665961258861446j,0.52207991312108482+0.29380052675169127j,0.44708944251881944+0.098934550028963161j,0.092800523567965296+0.53833413625061477j,0.73421701155996077+0.82769692146882168j,0.56354372990374202+0.24712100997813269j,0.62597075207508690+0.015706909510813299j,0.28543268342585154+0.62353288242607019j,0.85895412415782779+0.65142630849556693j,0.029572181177155706+0.49910736988490645j,0.58998956398531344+0.59407435101285455j,0.55368033566643771+0.31640378334295016j,0.76818023542655478+0.25125602556241727j,0.54323188037365089+0.53151411757743805j,0.60195072049545528+0.79562948161200742j
0.38691052928911213+0.81799681043705219j,0.47806486749812571+0.84144539922608774j,0.40512943474389623+0.24919525728635294j,0.20934425983310731+0.45244214658512755j,0.11978832687344740+0.63354733858794021j,0.73549742648251260+0.13573134436140008j,0.64298707836023483+0.81690020320774692j,0.30889744416637410+0.080327623443607082j,0.80975411032750078+0.95177444019393220j,0.19479403670760442+0.50962991794503332j,0.86943868869090679+0.53477151619995789j,0.49891907042270472+0.39434959856779972j,0.78980630688999443+0.065431985800023434j,0.21072921106218456+0.37007660533139008j,0.60652819720790452+0.53902746355968156j,0.60556777169614007+0.42367480323294010j,0.53958359074993190+0.53338865253051426j,0.57425676836251416+0.20676779540966345j,0.90060809559732868+0.21902334206597093j,0.091553253485833361+0.37030446272151440j
0.13984746666952691+0.56686233039167511j,0.068902747638865031+0.70188158641566145j,0.097280858675424270+0.93805362923748536j,0.47656423855012198+0.61111477853020357j,0.64746480110776861+0.74149372243646683j,0.16403865578737345+0.59816981472281350j,0.80001709889688066+0.90215991748664015j,0.88296315448911133+0.58385126694448064j,0.71574450137013546+0.87247580809539182j,0.99378693777689964+0.84310449597606363j,0.0045584460662062730+0.95979144125351146j,0.51420834693485273+0.62228651107025834j,0.79696552396848153+0.21842569465105566j,0.96845263769778889+0.17560094917476174j,0.78205883105983831+0.67470285219593884j,0.42196510213754690+0.045896427659874853j,0.15321966215207736+0.63590050677374954j,0.89773694067617693+0.31389184188135211j,0.43600718493601720+0.47973735759857733j,0.80849396610724911+0.29968525910435512j
0.25967402433617548+0.71883117039718036j,0.25812154260479381+0.92283688413031917j,0.56376936050150228+0.31557548689838266j,0.56018565856655056+0.14251921238104462j,0.043770090081010696+0.60334964063238206j,0.39171574557937527+0.75302343955588946j,0.060223436969794278+0.58869177849907361j,0.92532838864853095+0.19950390046361399j,0.94560302392405127+0.65993297383855098j,0.69913960454373780+0.29135517532247523j,0.62786405038481652+0.87578493749802744j,0.086216324627579763+0.27607238267834827j,0.41460024157586450+0.12129426622298178j,0.0018601106284695656+0.82189960957572950j,0.30743938504361845+0.96587079954287680j,0.71486016445006750+0.046726298505317031j,0.0027398966405965401+0.72198679594736292j,0.40944017553814366+0.39727165492628186j,0.11397311915071431+0.42608850040357593j,0.26936576836560350+0.51778834919073036j
0.90805161659809919+0.076974806162928316j,0.89959512300117950+0.52967699664763290j,0.64264008478466628+0.77201988576989944j,0.28196062332328958+0.26717247986684534j,0.037523548672674913+0.57511336351029263j,0.19712124194731223+0.93213288683038731j,0.082554801840874270+0.82504332723500173j,0.61194761051588886+0.48386026086663830j,0.81817335986752626+0.39929511767815951j,0.57998820175369947+0.52366659720971176j,0.12439038351792008+0.74545544821941756j,0.19607079712022885+0.062876118507455017j,0.21610130666224758+0.32576205054753127j,0.50037102006912904+0.98129692506521682j,0.68053502489136264+0.27625169068639749j,0.39284860966360668+0.52748587999320473j,0.59389441389638120+0.10960661122415284j,0.70170114685063922+0.57539084642576965j,0.31067283004857099+0.012210027798010181j,0.88902410099610907+0.68740666351726443j
0.39232395652101126+0.75620068156954590j,0.30883041548104212+0.78422994802684620j,0.68681831163333429+0.89312247182959981j,0.19530468648341368+0.63676931062964193j,0.27457338773586637+0.95087297951066829j,0.41259137404629265+0.079455060303993422j,0.12585969022385457+0.43184661618758019j,0.095053104255121881+0.20827111820832089j,0.32145869327894760+0.32920630927315675j,0.32187405431610216+0.36993210364329965j,0.36773151869754189+0.92836030428792438j,0.44266170432150503+0.64428960148459924j,0.67343826323852385+0.43231098528319589j,0.50320858078670094+0.68838204793281443j,0.15934688949235012+0.86505378015784895j,0.97967753059816820+0.16927610355823677j,0.88498665402823207+0.21241411103643409j,0.37022167838590270+0.38603229206648804j,0.81565143229922665+0.86152721486511152j,0.86846993017007612+0.061081444002651829j
