c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
1.15265048e+00+1.19560003e-01j,-1.25022018e+00-8.78940582e-01j,5.59177041e-01+6.94148779e-01j,6.16102695e-01+5.65698743e-01j,6.53253317e-01-5.68675041e-01j,8.36421728e-01+4.08157825e-01j,1.19598877e+00+8.41244698e-01j,6.50724173e-01+8.57464075e-01j,1.20752621e+00+9.03563499e-02j,-7.60971308e-01+1.41525280e+00j,3.69601250e-01+1.27960706e+00j,-1.15853989e+00+1.01863980e-01j,1.05426383e+00+7.18917370e-01j,4.34796572e-01-1.10203218e+00j,-1.41814399e+00-5.70549488e-01j,-8.58682513e-01+1.01073146e+00j,1.50606883e+00+1.55143738e-01j,3.34299564e-01-5.97970486e-01j,1.90093422e+00-6.94129467e-01j,-1.97765827e-01+9.42563534e-01j,-3.73985767e-01-1.08470798e-01j,2.16774940e-02+1.10098219e+00j,-9.36039925e-01+1.00554228e-01j,9.90951538e-01-7.49374628e-02j,4.21808243e-01+2.03905106e-01j
-8.78861904e-01+9.63125229e-02j,1.19738293e+00+3.74955654e-01j,4.30433989e-01-1.28596437e+00j,1.17209435e+00-3.73105288e-01j,-1.99138916e+00+1.10879230e+00j,1.06280088e-01+5.55376530e-01j,1.22610712e+00-4.97495413e-01j,7.81962872e-01+1.12105846e-01j,7.59187698e-01+9.44096565e-01j,2.57372499e-01-9.54334021e-01j,7.98959494e-01+1.58906472e+00j,1.35984898e-01-1.37616658e+00j,1.48173761e+00+1.29147005e+00j,-3.29804897e-01+9.72447872e-01j,5.76179504e-01+1.24143302e+00j,4.32374358e-01-7.57035851e-01j,-9.97764111e-01-1.43607807e+00j,-6.13038540e-01+4.93448853e-01j,-5.59167385e-01-1.21222830e+00j,-1.58811128e+00-1.81319475e-01j,-2.67214775e-02-1.66539800e+00j,-6.50095940e-03-1.30479383e+00j,7.22905159e-01+5.39853573e-02j,1.88446414e+00-1.21288300e-02j,-6.29407883e-01+1.22480631e-01j
1.01660490e-01+3.95265102e-01j,-3.87495995e-01+1.10741913e+00j,2.55330563e-01+1.00924528e+00j,-9.78045464e-02-1.61268413e-02j,2.25235105e-01+1.44363487e+00j,1.26717412e+00-1.14113045e+00j,-6.36276484e-01+6.09301805e-01j,-2.41737604e-01+2.88261175e-01j,9.94840622e-01+4.36394930e-01j,1.38909578e+00+1.67104149e+00j,4.03437853e-01-7.04018354e-01j,7.86672115e-01-5.06773472e-01j,-3.87212276e-01-4.49998260e-01j,1.02455676e+00+5.01110554e-02j,3.29553127e-01+1.47162104e+00j,1.44391882e+00-4.71198559e-03j,9.01513100e-01-1.37168777e+00j,1.23467922e-01-4.76415157e-02j,5.70721626e-01+2.80751109e-01j,-1.45810807e+00-1.06434274e+00j,-1.96419632e+00-4.08028126e-01j,-8.56219769e-01-5.95383644e-01j,9.57668304e-01-4.35342789e-01j,-8.48910570e-01-1.30926371e-01j,-5.12651682e-01-3.49131823e-01j
4.05453205e-01-9.61054087e-01j,-8.53689432e-01-4.95708942e-01j,6.13962889e-01-9.56894875e-01j,-1.31032121e+00-3.59885097e-01j,9.35450554e-01+3.55634928e-01j,-1.67588544e+00+6.47106528e-01j,1.51952398e+00-2.21535921e-01j,3.48306656e-01-1.15653563e+00j,-1.48942673e+00-7.27195978e-01j,3.39296341e-01-4.76260781e-01j,7.90440559e-01-1.45653582e+00j,-7.48639107e-02-1.12972081e+00j,-9.24508572e-01-4.51188326e-01j,5.55517912e-01-8.27511549e-01j,6.42938375e-01+2.72987604e-01j,-1.53072834e+00+1.37952757e+00j,-7.72698641e-01+6.26392126e-01j,1.18559289e+00+8.32443476e-01j,-1.36926627e+00+1.57574248e+00j,-1.26452953e-01-1.38540149e-01j,2.31112719e-01+5.43253899e-01j,8.00329685e-01+9.10465717e-02j,1.10455513e+00-1.05482578e+00j,-3.03119659e-01-1.27717030e+00j,1.37017989e+00+1.78221953e+00j
5.42571306e-01+9.42377567e-01j,-8.60635281e-01+1.58233643e-01j,-2.80274868e-01-3.35770130e-01j,-7.82363415e-01-1.69968843e+00j,-3.04179192e-02+1.30787456e+00j,-1.47516274e+00+5.13973236e-01j,-1.73181152e+00+1.99449301e+00j,-2.47883797e-03+3.28958511e-01j,2.18111992e-01-6.59839809e-02j,1.27559626e+00+1.64533079e+00j,3.01303148e-01+1.19796073e+00j,-2.53085136e-01-1.57030344e-01j,3.51182222e-01+1.60493708e+00j,3.83668423e-01-1.44526911e+00j,-6.87224865e-02+6.89451694e-02j,9.08376217e-01-1.27193689e+00j,-4.74930257e-01+3.21211100e-01j,9.73969936e-01-3.33752394e-01j,-1.25145531e+00+7.20383644e-01j,1.44852602e+00+4.13676262e-01j,1.00267375e+00-1.22318745e-01j,1.57233667e+00+1.98611975e-01j,9.54120994e-01-1.13643086e+00j,-1.49633193e+00+1.74412024e+00j,5.72331786e-01-9.46400642e-01j
1.38106930e+00+6.69862986e-01j,1.02041721e-01-1.12894464e+00j,1.69461739e+00+3.95631075e-01j,-3.74315023e-01+8.71117115e-01j,-1.53955460e-01-7.07891107e-01j,3.17825317e-01-4.30170774e-01j,-7.98694611e-01+7.61628389e-01j,9.97386932e-01-4.42184687e-01j,1.97761929e+00-3.23986053e-01j,9.42087531e-01-8.15012455e-02j,-9.48760509e-01+7.21089840e-02j,-6.93901777e-01+1.37977540e+00j,4.50535774e-01-1.40482688e+00j,4.37570810e-01-1.67026311e-01j,8.33373547e-01+1.22832084e+00j,-8.83829594e-02-9.23705399e-02j,1.06950378e+00+3.03113937e-01j,1.03528976e-01-6.43620849e-01j,-2.62640238e-01+8.19193840e-01j,-8.16743672e-02-3.59283686e-02j,1.30752659e+00+1.28489113e+00j,1.53633320e+00+1.08237386e-01j,2.39767790e-01+9.98073578e-01j,-5.93159676e-01-1.55239105e+00j,1.11540627e+00-3.18026066e-01j
-1.35976601e+00-1.64896250e-01j,-1.19874477e-01-3.06605339e-01j,1.29449034e+00-1.37240100e+00j,-7.73721457e-01+1.32425737e+00j,-7.58385181e-01+6.66626930e-01j,-1.13862991e-01-1.02698982e+00j,2.72481441e-02-1.93781757e+00j,1.06101906e+00+1.02489972e+00j,-5.37731409e-01+4.00877237e-01j,-1.43339157e-01-8.40885043e-01j,-3.74266386e-01+3.25493455e-01j,8.21316242e-01-2.06607819e-01j,4.09438252e-01-1.10546589e+00j,-4.41590309e-01+2.75656700e-01j,-6.29988432e-01-2.47104883e-01j,1.44299972e+00-1.04796171e-01j,-5.59564590e-01+9.75272179e-01j,-2.76148558e-01+9.28132534e-02j,-9.06169176e-01+3.63877773e-01j,-7.73771286e-01-1.03125751e+00j,8.30239058e-02-1.95261717e-01j,4.93540287e-01-6.18937731e-01j,1.77720392e+00-2.09928989e-01j,9.17324543e-01-1.12958360e+00j,1.68615580e-02+3.76173973e-01j
6.23059273e-03+2.88612843e-01j,1.13946116e+00-3.55374813e-01j,5.19078016e-01+3.08496237e-01j,2.85406113e-01-2.28540152e-01j,3.72415900e-01+8.19404364e-01j,-7.29110241e-02-1.54564118e+00j,5.12755513e-01-1.46167338e+00j,-1.41026616e+00+5.13013124e-01j,8.60903025e-01-4.14178014e-01j,4.47712660e-01+1.91932082e-01j,5.59256792e-01-1.56403065e-01j,9.76728439e-01-1.39941287e+00j,-9.74245071e-01-1.06607485e+00j,-4.19114351e-01+3.31459761e-01j,-1.17410588e+00-1.45557070e+00j,-1.15248394e+00+1.90278292e-02j,-9.40030813e-01-8.02235723e-01j,7.29085684e-01-1.61604655e+00j,-3.83818030e-01+4.56152201e-01j,1.43843412e-01-1.79241419e+00j,-1.24925780e+00+4.05024529e-01j,-4.34603691e-01+1.36688995e+00j,5.59957743e-01+7.03216791e-01j,1.97691917e-02-1.48573160e-01j,5.92387438e-01-7.29550838e-01j
1.23575687e-01-4.24330533e-02j,-9.95533705e-01-1.30044949e+00j,6.33958101e-01+4.51155901e-01j,-1.41790104e+00-1.16664815e+00j,-3.20103675e-01-1.23886573e+00j,-1.22525489e+00-9.56205368e-01j,-9.77833509e-01+5.08632421e-01j,4.75849628e-01-4.31809425e-02j,-9.05252457e-01-1.53565705e+00j,-4.69819546e-01+2.20983267e-01j,-3.50483656e-01-1.31997138e-01j,3.57608318e-01+1.29484844e+00j,1.24592912e+00+1.26194263e+00j,-1.49663639e+00-9.93094683e-01j,1.09950292e+00+4.08098698e-01j,-1.22924852e+00-1.25511479e+00j,-4.22942638e-01-1.51712430e+00j,-8.70049000e-03-1.05502713e+00j,-5.77558041e-01+7.45460272e-01j,-1.76684141e-01-5.73694944e-01j,-2.19601631e-01+1.38360357e+00j,-7.01053619e-01-6.46700859e-02j,-6.63664341e-02-3.70103359e-01j,-6.60733700e-01-6.13609314e-01j,-1.00252128e+00+8.33358765e-02j
1.94280732e+00-1.80254757e+00j,4.11718845e-01-1.76110297e-01j,-5.04134893e-01-5.77702522e-02j,-9.99221802e-02+2.07844973e-01j,-9.46336746e-01+6.31349325e-01j,1.05099344e+00-4.91125584e-02j,-1.04295170e+00+9.28124428e-01j,1.09780848e+00-8.13541412e-01j,-2.13507891e-01+6.52745724e-01j,1.65572190e+00-5.32938480e-01j,-9.85821486e-01+1.02809942e+00j,-5.88293314e-01-1.96620977e+00j,-1.34761357e+00+1.92272067e-01j,9.67906713e-02+7.78293252e-01j,-4.45289850e-01-1.90642476e+00j,-8.06957960e-01+5.47519803e-01j,1.12551761e+00-1.49647069e+00j,-4.98088598e-01+1.32144475e+00j,-8.90435934e-01+9.47899342e-01j,1.83458412e+00+3.58243704e-01j,4.45535183e-01+9.30203438e-01j,7.35018015e-01-6.36851072e-01j,6.08462572e-01+9.41031456e-01j,-1.48354208e+00-1.88948154e-01j,7.23823071e-01-9.73339796e-01j
2.29207516e-01+7.25959301e-01j,1.59197199e+00+2.43864536e-01j,-6.33636951e-01+6.75141573e-01j,-1.77351713e-01+1.37239695e-01j,2.84456491e-01-4.11063910e-01j,8.89709473e-01+6.47448778e-01j,-6.13482714e-01-2.58368969e-01j,-3.90195847e-01+2.19737530e-01j,5.68895578e-01+1.26077175e-01j,3.30614567e-01+2.06341267e-01j,-1.41333127e+00+1.72700346e+00j,1.28569841e+00+2.86726713e-01j,-4.69317436e-02+8.49435329e-02j,-3.63040447e-01-1.20022905e+00j,-4.95607376e-01+1.58142757e+00j,7.65265703e-01-1.30165875e+00j,-9.09182787e-01-1.91510510e+00j,-9.91332054e-01-5.59215248e-02j,7.19167709e-01+2.55100250e-01j,4.52137709e-01-3.95857573e-01j,4.61244583e-03-5.59866428e-01j,1.20465076e+00-1.66014469e+00j,5.04242182e-01+1.35450840e-01j,5.46040297e-01+2.66183615e-02j,-7.35689402e-01-6.08808279e-01j
-1.63951683e+00-1.19013643e+00j,-2.36040592e-01-9.97365952e-01j,2.73828268e-01+3.65877151e-02j,1.14289808e+00-6.28513932e-01j,8.48547220e-02-2.28513718e-01j,7.85100222e-01-9.89646435e-01j,2.58893967e-02-5.82995653e-01j,7.82642126e-01-1.25565052e-01j,6.55509949e-01+1.01671922e+00j,-7.88559914e-01+1.97589779e+00j,-2.05389708e-01+1.55035925e+00j,-7.65509963e-01-1.28217053e+00j,-1.19469523e-01-1.58434153e-01j,-1.10938299e+00-1.41943884e+00j,-5.86758852e-01+1.39115286e+00j,-5.35447359e-01-1.98716193e-01j,9.63895798e-01-8.53832245e-01j,3.01290512e-01+8.18238497e-01j,-8.50185871e-01+9.16406631e-01j,-3.27011824e-01+2.85274267e-01j,3.98919344e-01+1.73318148e-01j,7.36012459e-02+1.19585836e+00j,-1.54392135e+00-5.42955637e-01j,-1.39035702e-01-4.27770138e-01j,-2.41636038e-01+1.86725378e-01j
1.49157286e-01+9.76692677e-01j,-6.19857013e-02+4.49254751e-01j,3.93668652e-01-3.90964866e-01j,7.80751228e-01-9.00874615e-01j,-1.04970098e+00+1.56466091e+00j,-1.46242881e+00-1.65284801e+00j,-1.19054043e+00-1.73799872e+00j,-1.98945999e-02+1.21600592e+00j,-9.83017445e-01-5.28325319e-01j,2.37554193e-01+5.61095953e-01j,2.20522642e-01+9.57132339e-01j,1.39264429e+00+1.24431860e+00j,-4.34165955e-01-1.87090755e+00j,7.21713066e-01+5.96264601e-01j,-4.06157672e-02+1.04319656e+00j,1.18350792e+00-4.95747328e-01j,-7.39054978e-02-1.22992754e-01j,-3.58515978e-01+1.24075854e+00j,1.69288635e+00-6.77777290e-01j,3.47228289e-01+7.25108147e-01j,1.27277064e+00-5.26881218e-03j,7.30354309e-01-2.84999847e-01j,1.43491030e-02-4.65078831e-01j,1.45916057e+00-6.15029573e-01j,-1.21767557e+00-1.59582067e+00j
-1.84172010e+00-5.59912920e-01j,-1.12776756e-02+4.52231169e-01j,-1.52624130e-01-3.01398754e-01j,-7.47724295e-01+1.01352823e+00j,7.34217644e-01+4.12915707e-01j,-2.27365464e-01-9.11963701e-01j,5.45147419e-01+9.50236797e-01j,-3.14565182e-01+4.21456814e-01j,1.65737903e+00+2.04639435e-02j,-2.30754137e-01-8.21900368e-03j,8.10874701e-01-1.94928706e+00j,-6.20168447e-02+2.99573064e-01j,-3.32931995e-01-1.76649559e+00j,-4.93745327e-01+1.75582540e+00j,9.18062210e-01+4.86886501e-01j,1.26082742e+00+4.74610329e-02j,1.40589726e+00+7.95728922e-01j,-1.89540684e-02-1.16017580e-01j,6.91349745e-01+3.11352491e-01j,6.73064590e-01+1.75798178e-01j,2.95519590e-01-4.60821152e-01j,-2.44634748e-01+9.23139095e-01j,3.74524355e-01-3.85351658e-01j,-2.76757002e-01-1.11660480e+00j,9.93542194e-01+7.48745203e-02j
-1.34303778e-01-9.64737892e-01j,2.67117262e-01-7.15559721e-01j,1.76191652e+00+1.69107509e+00j,4.05854464e-01-1.03943598e+00j,-9.45896864e-01-5.30312061e-01j,-2.17835426e-01+2.55265236e-01j,8.58099937e-01-1.89798117e+00j,-1.18887055e+00-2.10403234e-01j,-2.76854038e-01+4.80507612e-01j,6.77279234e-01+7.37981319e-01j,-4.65707779e-01-1.35481834e-01j,-7.98131704e-01-9.29368854e-01j,-7.66914129e-01-1.66101074e+00j,1.63235772e+00-2.41604090e-01j,-1.62444258e+00+1.28981829e-01j,1.04387999e-01+1.71905994e-01j,1.54798567e+00+2.51481056e-01j,9.92979527e-01-1.11120343e+00j,5.44275284e-01+1.65667152e+00j,5.63274622e-01-1.50309467e+00j,3.69114876e-02-1.17727947e+00j,1.91261649e-01-2.18754292e-01j,-4.95530844e-01-6.13808393e-01j,3.95183086e-01-1.00205052e+00j,-1.45858026e+00-3.14594030e-01j
1.21211755e+00+1.62141979e+00j,-2.38943547e-01+5.01530290e-01j,6.43239498e-01-2.81599998e-01j,9.22030449e-01+1.00052822e+00j,2.39333868e-01+8.58994722e-01j,1.39064550e-01-1.42829275e+00j,-2.32744694e-01+1.08579898e+00j,8.97491932e-01-8.65337133e-01j,-5.08451223e-01+4.14685011e-01j,1.00623345e+00+3.88631582e-01j,7.61550665e-01-2.44214058e-01j,-1.00950003e+00-7.08338499e-01j,-8.14302683e-01+1.36852455e+00j,-1.78286529e+00+1.57578707e-01j,-7.19122410e-01+9.40159678e-01j,-1.21684492e+00-9.92247343e-01j,-8.71848345e-01+8.50029230e-01j,-2.70445347e-01+1.07713079e+00j,-1.34154117e+00+1.60656548e+00j,-6.50596142e-01+7.53162742e-01j,1.24183893e-01+1.89641440e+00j,1.91609192e+00+3.37689400e-01j,1.42925692e+00+1.09234214e+00j,-1.03246307e+00-8.53403330e-01j,-3.43039066e-01+1.13382816e-01j
-5.11504292e-01-5.99351168e-01j,1.11210561e+00-1.80118346e+00j,-1.32814527e+00-1.13888621e+00j,-1.88437414e+00+3.74657154e-01j,1.13768804e+00+5.06114006e-01j,6.20556593e-01+4.57407832e-01j,4.21238899e-01-5.49531460e-01j,-8.72609377e-01-2.60295391e-01j,4.38272953e-02-3.07986259e-01j,7.84938097e-01-1.73990965e-01j,-4.26797152e-01-7.72576332e-02j,4.11467791e-01+1.91621196e+00j,1.33840013e+00-1.00363028e+00j,1.27987623e-01+8.45821381e-01j,-3.70398283e-01+1.56318557e+00j,3.08141708e-01-3.29810739e-01j,-7.68133402e-01-6.91266298e-01j,8.07626486e-01-6.02266550e-01j,3.77278566e-01+7.42796659e-02j,1.99268162e+00+3.70384693e-01j,-1.38140726e+00-6.91277266e-01j,-6.95504189e-01+2.43720293e-01j,-1.51795852e+00+2.70298243e-01j,1.08115554e+00-1.23063534e-01j,5.81531525e-02+1.28262281e-01j
-1.54749727e+00-1.04524577e+00j,3.95268321e-01-2.03165054e-01j,-1.13357341e+00+1.28041911e+00j,-5.69229126e-02+4.24042225e-01j,-8.19173336e-01-7.08040476e-01j,1.56588888e+00-1.02968001e+00j,-5.80590487e-01+4.92892981e-01j,1.67556059e+00+1.26006818e+00j,-8.86597872e-01-1.85876691e+00j,-1.21356201e+00-3.16805601e-01j,1.64094853e+00+4.14905548e-02j,-5.31649232e-01+1.11255527e-01j,-8.16384792e-01+1.49561656e+00j,4.91617680e-01-1.71779060e+00j,-1.47324038e+00+1.55199707e+00j,-1.06028438e+00+1.11505413e+00j,2.50125885e-01-5.60565233e-01j,-1.05004489e+00-1.76381588e-01j,3.43248367e-01-2.38866091e-01j,-8.03184509e-03+1.45441341e+00j,5.57649136e-02-1.76573658e+00j,-2.38275528e-02-1.57812881e+00j,-3.24617863e-01-2.17993736e-01j,1.40582669e+00+5.44924736e-01j,-5.37699461e-01-4.71155941e-02j
